commande	1_graph	8_frantfreqparm
1159	compagnie	60.87
1160	port	60.87
1161	vivant	60.84
1162	champs	60.81
1163	seraient	60.81
1164	vouloir	60.71
1165	comte	60.61
1166	concerne	60.58
1167	atteint	60.48
1168	justement	60.42
1169	sécurité	60.42
1170	actuellement	60.19
1171	connaît	60.19
1172	téléphone	60.19
1173	importante	60.13
1174	ouvrir	60.1
1175	reconnaître	59.97
1176	tombe	59.9
1177	professeur	59.87
1178	viennent	59.87
1179	difficultés	59.84
1180	leva	59.81
1181	appris	59.77
1182	application	59.68
1183	médecin	59.68
1184	tonnes	59.68
1185	pression	59.52
1186	dois	59.45
1187	cents	59.42
1188	durant	59.39
1189	portée	59.23
1190	opération	59.13
1191	évidence	59.13
1192	sociales	59.06
1193	genoux	59.03
1194	naturel	58.94
1195	résultat	58.81
1196	sortie	58.81
1197	boîte	58.77
1198	examen	58.74
1199	pouvaient	58.74
1200	chair	58.65
1201	pouvais	58.61
1202	nécessité	58.52
1203	élément	58.48
1204	poche	58.26
1205	souvenirs	58.26
1206	entier	58.23
1207	poste	58.16
1208	étrange	58.13
1209	basse	58.1
1210	vraie	58.1
1211	machines	57.97
1212	auquel	57.87
1213	hauteur	57.87
1214	jusque	57.84
1215	croix	57.81
1216	texte	57.81
1217	monter	57.71
1218	sein	57.71
1219	pierres	57.68
1220	patron	57.55
1221	phrase	57.55
1222	voulais	57.52
1223	cinquante	57.26
1224	comprends	57.26
1225	attitude	57.19
1226	sombre	57.16
1227	animaux	57.1
1228	voudrais	57.06
1229	effets	56.94
1230	projet	56.87
1231	dur	56.84
1232	extérieur	56.84
1233	bête	56.77
1234	boire	56.74
1235	comprend	56.71
1236	classique	56.68
1237	chacune	56.65
1238	parties	56.61
1239	entend	56.55
1240	acte	56.52
1241	pointe	56.52
1242	pensé	56.48
1243	énorme	56.45
1244	revenu	56.42
1245	signes	56.35
1246	portes	56.29
1247	finalement	56.23
1248	oublier	56.13
1249	style	56.13
1250	limite	56.1
1251	gueule	55.97
1252	pouvoirs	55.97
1253	vacances	55.94
1254	répondit	55.87
1255	tenu	55.81
1256	données	55.77
1257	concours	55.74
1258	docteur	55.74
1259	valeurs	55.71
1260	scientifique	55.68
1261	allemands	55.65
1262	su	55.65
1263	moyenne	55.61
1264	formule	55.55
1265	presse	55.48
1266	merci	55.45
1267	poser	55.42
1268	prince	55.42
1269	blancs	55.39
1270	tante	55.39
1271	vaste	55.26
1272	directeur	55.13
1273	nul	55.1
1274	source	55.1
1275	caractères	55
1276	passant	54.87
1277	température	54.87
1278	semaines	54.84
1279	total	54.84
1280	élève	54.84
1281	principes	54.81
1282	arrivait	54.74
1283	modèle	54.68
1284	branches	54.65
1285	oeuvres	54.65
1286	découverte	54.48
1287	défense	54.48
1288	roman	54.45
1289	décret	54.42
1290	justice	54.42
1291	quartier	54.39
1292	aimer	54.32
1293	entière	54.32
1294	traitement	54.32
1295	droits	54.26
1296	traits	54.26
1297	palais	54.19
1298	absolument	54.16
1299	êtres	54.16
1300	journaux	54.1
1301	poitrine	54.1
1302	gaz	54.03
1303	lutte	54
1304	bref	53.9
1305	morale	53.87
1306	moments	53.77
1307	herbe	53.74
1308	propriétés	53.71
1309	arrêter	53.68
1310	peinture	53.68
1311	vague	53.58
1312	drôle	53.52
1313	dirait	53.42
1314	pages	53.42
1315	pourra	53.42
1316	événements	53.42
1317	dimanche	53.35
1318	vint	53.35
1319	établissements	53.29
1320	sainte	53.26
1321	vaut	53.26
1322	saurait	53.23
1323	morte	53.19
1324	agissait	53.16
1325	orient	53.16
1326	sentir	53.16
1327	atteindre	53.13
1328	critique	53.06
1329	animal	52.94
1330	triste	52.94
1331	douleur	52.9
1332	visite	52.9
1333	constitue	52.87
1334	grosse	52.87
1335	quelquefois	52.87
1336	propriété	52.84
1337	rend	52.84
1338	maîtres	52.81
1339	historique	52.77
1340	lève	52.71
1341	revenir	52.68
1342	voyez	52.68
1343	expériences	52.65
1344	nation	52.65
1345	ressources	52.61
1346	sociologie	52.61
1347	devoir	52.52
1348	chapitre	52.48
1349	lune	52.45
1350	venue	52.42
1351	ennemi	52.39
1352	rouges	52.35
1353	entièrement	52.32
1354	meilleur	52.32
1355	limites	52.29
1356	changer	52.23
1357	mariage	52.19
1358	totale	52.19
1359	monte	52.1
1360	carte	52.06
1361	surprise	52.03
1362	certainement	52
1363	pareil	52
1364	capitaine	51.97
1365	précisément	51.97
1366	gorge	51.94
1367	léger	51.9
1368	oublié	51.87
1369	appareil	51.77
1370	arrêté	51.77
1371	attend	51.77
1372	colère	51.74
1373	eaux	51.68
1374	réserve	51.65
1375	devrait	51.61
1376	beaux	51.48
1377	claire	51.48
1378	immobile	51.48
1379	explique	51.45
