id	word	frequency
1221	Mittelpunkt	6
1222	Montag	6
1223	nahezu	6
1224	nahmen	6
1225	Neben	6
1226	neuer	6
1227	noch eine	6
1228	oben	6
1229	Oft	6
1230	Ohne	6
1231	Papiere	6
1232	Patienten	6
1233	Pflanzen	6
1234	positiven	6
1235	praktisch	6
1236	prallte	6
1237	Rahmen	6
1238	rechnet	6
1239	Rede	6
1240	reduziert	6
1241	Regelungen	6
1242	Reihe	6
1243	richten	6
1244	Robert	6
1245	Saison	6
1246	sank	6
1247	schlecht	6
1248	schloss	6
1249	schlug	6
1250	schöne	6
1251	schreibt	6
1252	schriftlich	6
1253	schwarzen	6
1254	setzen	6
1255	sinnvoll	6
1256	Sitzung	6
1257	Sohn	6
1258	solle	6
1259	somit	6
1260	Sorgen	6
1261	sorgt	6
1262	Staat	6
1263	Staatsanwaltschaft	6
1264	ständig	6
1265	starke	6
1266	Stattdessen	6
1267	steckt	6
1268	stiegen	6
1269	Stimmen	6
1270	Teile	6
1271	Telefon	6
1272	Tiere	6
1273	tolle	6
1274	trifft	6
1275	tritt	6
1276	Tür	6
1277	Turm	6
1278	Überraschung	6
1279	Universität	6
1280	Verantwortung	6
1281	verfügt	6
1282	vergessen	6
1283	Verhalten	6
1284	Verkehr	6
1285	Verletzungen	6
1286	verstärkt	6
1287	vorbereitet	6
1288	vorher	6
1289	Vorjahr	6
1290	Vorsitzende	6
1291	Vorteile	6
1292	Wann	6
1293	wartet	6
1294	Wasser	6
1295	Weiterbildung	6
1296	Wenn	6
1297	Wieder	6
1298	willkommen	6
1299	Wind	6
1300	Wünsche	6
1301	zerstört	6
1302	ziehen	6
1303	Zusammenhang	6
1304	zuständige	6
1305	abgelehnt	5
1306	Abschied	5
1307	AG	5
1308	aktualisiert	5
1309	alt	5
1310	Alternative	5
1311	Anforderungen	5
1312	angemeldet	5
1313	angesagt	5
1314	angestrebt	5
1315	Anleger	5
1316	Ansonsten	5
1317	Aspekte	5
1318	auch nicht	5
1319	Aufbau	5
1320	aufgegeben	5
1321	Aufnahme	5
1322	Auftritt	5
1323	Ausbau	5
1324	Auseinandersetzung	5
1325	ausgelöst	5
1326	ausgestattet	5
1327	Ausnahme	5
1328	außerhalb	5
1329	Band	5
1330	Bedarf	5
1331	bedroht	5
1332	befinden	5
1333	begeistert	5
1334	begrenzt	5
1335	benannt	5
1336	Beratung	5
1337	Berechnung	5
1338	bereit	5
1339	bereitgestellt	5
1340	Bereits	5
1341	berichtet	5
1342	beschlossen	5
1343	Beschluss	5
1344	Beschreibung	5
1345	Beschwerde	5
1346	besitzen	5
1347	beste	5
1348	betrage	5
1349	betreibt	5
1350	Bett	5
1351	Beute	5
1352	Bewegung	5
1353	Bislang	5
1354	Boot	5
1355	brachte	5
1356	bricht	5
1357	Browser	5
1358	daher	5
1359	Danke	5
1360	Daraus	5
1361	Darüber	5
1362	Darunter	5
1363	Das neue	5
1364	dass	5
1365	Datum	5
1366	dauern	5
1367	Demonstrationen	5
1368	denke	5
1369	denken	5
1370	deshalb	5
1371	deutscher	5
1372	Die Entscheidung	5
1373	Die Frau	5
1374	Diesen	5
1375	Diesmal	5
1376	Dinge	5
1377	Dokumentation	5
1378	Dorf	5
1379	Download	5
1380	Dr.	5
1381	Drei	5
1382	droht	5
1383	durchaus	5
1384	e.V	5
1385	Ebenso	5
1386	ebenso	5
1387	Ehe	5
1388	ehemalige	5
1389	eher	5
1390	eingeladen	5
1391	eingeleitet	5
1392	eingesetzt	5
1393	Einstieg	5
1394	Einzelhandel	5
1395	einzige	5
1396	Eis	5
1397	elektronische	5
1398	Ende des	5
1399	Energie	5
1400	enthalten	5
1401	er auch	5
1402	Erde	5
1403	Erfahrung	5
1404	erfasst	5
1405	erfolgen	5
1406	erfolgreich	5
1407	ergeben	5
1408	erheblich	5
1409	Erholung	5
1410	erleichtert	5
1411	ermöglichen	5
1412	eröffnet	5
1413	EU-Kommission	5
1414	Fahrt	5
1415	Fahrzeug	5
1416	Fahrzeugen	5
1417	falsche	5
1418	falschen	5
1419	fanden	5
1420	Farben	5
1421	Fehler	5
1422	fehlte	5
1423	Feld	5
1424	festgehalten	5
1425	finanziert	5
1426	Fokus	5
1427	folgende	5
1428	Forderung	5
1429	Formen	5
1430	formuliert	5
1431	Forschung	5
1432	Frank	5
1433	führte	5
1434	Ganz	5
1435	Gäste	5
1436	gebaut	5
1437	gebracht	5
1438	Gebühren	5
1439	geeignet	5
1440	gefallen	5
1441	geführt	5
1442	gegangen	5
1443	Gegner	5
1444	geht weiter	5
1445	gekommen	5
1446	gelte	5
1447	geprägt	5
1448	Gesamtschaden	5
1449	geschaffen	5
1450	geschieht	5
1451	geschrieben	5
1452	Gesicht	5
1453	gestaltet	5
1454	Geständnis	5
1455	gestartet	5
1456	Gesundheit	5
1457	Gewalt	5
1458	Gewerkschaft	5
1459	gezeigt	5
1460	gilt als	5
1461	Gleichwohl	5
1462	Große	5
1463	Grundlage	5
1464	grundsätzlich	5
1465	halten	5
1466	Hände	5
1467	handelt	5
1468	heraus	5
1469	Herausforderung	5
1470	Herz	5
1471	heutige	5
1472	hilfreich	5
1473	Himmel	5
1474	Hinweise	5
1475	historischen	5
1476	höchste	5
1477	Hoffnung	5
1478	höhere	5
1479	Hotel	5
1480	Idee	5
1481	Immerhin	5
1482	in Kürze	5
1483	Index	5
1484	informiert	5
1485	Infos	5
1486	integriert	5
1487	interessante	5
1488	interessiert	5
1489	internationale	5
1490	Investoren	5
1491	jährlich	5
1492	Jede	5
1493	Jedes	5
1494	Juli	5
1495	Jungen	5
1496	Jürgen	5
1497	Kampf	5
1498	Karten	5
1499	Kauf	5
1500	Kenntnisse	5
1501	Kilometer	5
1502	Klasse	5
1503	Kommt	5
1504	komplette	5
1505	konkreten	5
1506	Körper	5
1507	kostete	5
1508	Kraft	5
1509	Kreuz	5
1510	Krieg	5
1511	Krise	5
1512	Kursziel	5
1513	Kürze	5
1514	Länder	5
1515	langsam	5
1516	längst	5
1517	lautet	5
1518	lebt	5
1519	Lehrer	5
1520	lesen	5
1521	lieben	5
1522	London	5
1523	Luft	5
1524	Menge	5
1525	Metern	5
1526	mitten	5
1527	möchten	5
1528	modernen	5
1529	Möglichkeiten	5
1530	möglichst	5
1531	Monat	5
1532	morgen	5
1533	Motiv	5
1534	Motor	5
1535	Mrd.	5
1536	Müller	5
1537	mußte	5
1538	müßten	5
1539	Nachfrage	5
1540	näher	5
1541	Nationen	5
1542	Natur	5
1543	nennen	5
1544	noch mehr	5
1545	nötig	5
1546	notwendigen	5
1547	nutzen	5
1548	offen	5
1549	ohnehin	5
1550	Opposition	5
1551	passen	5
1552	perfekt	5
1553	plant	5
